TENDL-2017 Nuclear data library
# n +  89Y    : (n,a)             Total
# Q-value    = 6.85052E-01
# E-threshold= 0.00000E+00
# # energies =   121
#     E          xs       gamma xs  xs/res.prod.xs
 3.60000E+01 3.71297E+00 1.54220E+01 6.42043E-01
 3.80000E+01 3.02558E+00 1.25110E+01 4.54423E-01
 4.00000E+01 2.53781E+00 1.04181E+01 3.08213E-01
 4.20000E+01 2.08965E+00 8.39141E+00 2.02245E-01
 4.40000E+01 1.73517E+00 6.93317E+00 1.37270E-01
 4.60000E+01 1.46251E+00 5.85506E+00 1.00124E-01
 4.80000E+01 1.19634E+00 4.79768E+00 7.37031E-02
 5.00000E+01 1.02819E+00 4.16858E+00 5.92918E-02
 5.20000E+01 8.77567E-01 3.59599E+00 5.00114E-02
 5.40000E+01 7.38202E-01 3.05674E+00 4.34443E-02
 5.60000E+01 6.40362E-01 2.68248E+00 3.96857E-02
 5.80000E+01 5.59693E-01 2.37147E+00 3.70874E-02
 6.00000E+01 4.77538E-01 2.03626E+00 3.42278E-02
 6.50000E+01 3.38899E-01 1.46818E+00 2.81760E-02
 7.00000E+01 2.41759E-01 1.03825E+00 2.25915E-02
 7.50000E+01 1.80329E-01 7.75859E-01 1.77562E-02
 8.00000E+01 1.31063E-01 5.58724E-01 1.37391E-02
 9.00000E+01 7.89259E-02 3.34428E-01 9.15630E-03
 1.00000E+02 4.69225E-02 1.95281E-01 6.38047E-03
 1.10000E+02 2.92425E-02 1.19200E-01 4.70059E-03
 1.20000E+02 2.01849E-02 8.08560E-02 3.67558E-03
 1.30000E+02 1.37973E-02 5.43565E-02 2.92474E-03
 1.40000E+02 1.01123E-02 3.92615E-02 2.40684E-03
 1.50000E+02 7.55039E-03 2.89594E-02 2.02386E-03
 1.60000E+02 5.59502E-03 2.13127E-02 1.66840E-03
 1.80000E+02 3.67171E-03 1.37429E-02 1.30844E-03
 2.00000E+02 2.40857E-03 8.88716E-03 1.01740E-03
