#LIBRARY    ENDF/B-VIII.0
#REACTION   IN-115(N,P)CD-115,SIG
#NUCLEUS    In-115
#MF         3
#MT         103
#EN-MIN     1e+06
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 5.48338E+06 7.40505E-07  Lin-Lin
 5.49545E+06 8.08562E-07  Lin-Lin
 5.50722E+06 8.80865E-07  Lin-Lin
 5.51874E+06 9.57927E-07  Lin-Lin
 5.52996E+06 1.03947E-06  Lin-Lin
 5.54094E+06 1.12604E-06  Lin-Lin
 5.55165E+06 1.2173E-06   Lin-Lin
 5.56213E+06 1.31382E-06  Lin-Lin
 5.57234E+06 1.4152E-06   Lin-Lin
 5.58233E+06 1.52204E-06  Lin-Lin
 5.59207E+06 1.63387E-06  Lin-Lin
 5.60161E+06 1.75133E-06  Lin-Lin
 5.60783E+06 1.83253E-06  Lin-Lin
 5.62009E+06 2.00355E-06  Lin-Lin
 5.63196E+06 2.18444E-06  Lin-Lin
 5.64346E+06 2.37523E-06  Lin-Lin
 5.6546E+06  2.57594E-06  Lin-Lin
 5.6654E+06  2.78653E-06  Lin-Lin
 5.67585E+06 3.00695E-06  Lin-Lin
 5.68598E+06 3.23709E-06  Lin-Lin
 5.6958E+06  3.47683E-06  Lin-Lin
 5.7053E+06  3.72599E-06  Lin-Lin
 5.71451E+06 3.98438E-06  Lin-Lin
 5.72343E+06 4.25177E-06  Lin-Lin
 5.73626E+06 4.66804E-06  Lin-Lin
 5.74856E+06 5.10525E-06  Lin-Lin
 5.76022E+06 5.55772E-06  Lin-Lin
 5.7714E+06  6.02902E-06  Lin-Lin
 5.78201E+06 6.51292E-06  Lin-Lin
 5.79217E+06 7.01317E-06  Lin-Lin
 5.80181E+06 7.5231E-06   Lin-Lin
 5.81105E+06 8.04666E-06  Lin-Lin
 5.82286E+06 8.76911E-06  Lin-Lin
 5.83393E+06 9.5052E-06   Lin-Lin
 5.84431E+06 1.02513E-05  Lin-Lin
 5.85404E+06 1.10039E-05  Lin-Lin
 5.86316E+06 1.17596E-05  Lin-Lin
 5.87586E+06 1.28978E-05  Lin-Lin
 5.88725E+06 1.40136E-05  Lin-Lin
 5.89771E+06 1.51221E-05  Lin-Lin
 5.9041E+06  1.58426E-05  Lin-Lin
 5.91609E+06 1.72874E-05  Lin-Lin
 5.92658E+06 1.86593E-05  Lin-Lin
 5.93576E+06 1.99487E-05  Lin-Lin
 5.9473E+06  2.16978E-05  Lin-Lin
 5.95696E+06 2.32791E-05  Lin-Lin
 5.96772E+06 2.5176E-05   Lin-Lin
 5.97579E+06 2.66995E-05  Lin-Lin
 5.9879E+06  2.91593E-05  Lin-Lin
 6E+06       3.18457E-05  Lin-Lin
 6.05468E+06 3.43293E-05  Lin-Lin
 6.10594E+06 3.68333E-05  Lin-Lin
 6.154E+06   3.93464E-05  Lin-Lin
 6.22017E+06 4.30899E-05  Lin-Lin
 6.28089E+06 4.68372E-05  Lin-Lin
 6.33542E+06 5.04793E-05  Lin-Lin
 6.38545E+06 5.40697E-05  Lin-Lin
 6.44662E+06 5.88091E-05  Lin-Lin
 6.50016E+06 6.32955E-05  Lin-Lin
 6.56749E+06 6.94278E-05  Lin-Lin
 6.62384E+06 7.50147E-05  Lin-Lin
 6.6866E+06  8.17671E-05  Lin-Lin
 6.75132E+06 8.93677E-05  Lin-Lin
 6.79544E+06 9.49512E-05  Lin-Lin
 6.84839E+06 0.000102114  Lin-Lin
 6.87487E+06 0.000105895  Lin-Lin
 6.96872E+06 0.000113706  Lin-Lin
 7.14775E+06 0.000129025  Lin-Lin
 7.2485E+06  0.000138381  Lin-Lin
 7.36938E+06 0.000150507  Lin-Lin
 7.46547E+06 0.000160918  Lin-Lin
 7.56346E+06 0.000172316  Lin-Lin
 7.6726E+06  0.000185963  Lin-Lin
 7.78953E+06 0.000201785  Lin-Lin
 7.89476E+06 0.000217173  Lin-Lin
 8E+06       0.000233734  Lin-Lin
 8.0918E+06  0.00025112   Lin-Lin
 8.17603E+06 0.000268209  Lin-Lin
 8.27902E+06 0.000290693  Lin-Lin
 8.36914E+06 0.000311908  Lin-Lin
 8.4848E+06  0.000341417  Lin-Lin
 8.5492E+06  0.000359042  Lin-Lin
 8.6619E+06  0.000392104  Lin-Lin
 8.77812E+06 0.00042939   Lin-Lin
 8.85736E+06 0.000456825  Lin-Lin
 8.95246E+06 0.000492071  Lin-Lin
 9.03012E+06 0.000523236  Lin-Lin
 9.12048E+06 0.000562718  Lin-Lin
 9.22996E+06 0.00061338   Lin-Lin
 9.30461E+06 0.000650514  Lin-Lin
 9.39419E+06 0.000698053  Lin-Lin
 9.53979E+06 0.000780534  Lin-Lin
 9.62416E+06 0.000832086  Lin-Lin
 9.71812E+06 0.000893514  Lin-Lin
 9.81879E+06 0.000964371  Lin-Lin
 9.9094E+06  0.00103293   Lin-Lin
 1.01235E+07 0.00120527   Lin-Lin
 1.02315E+07 0.00129904   Lin-Lin
 1.03261E+07 0.00138704   Lin-Lin
 1.0445E+07  0.00150626   Lin-Lin
 1.05445E+07 0.00161388   Lin-Lin
 1.06553E+07 0.00174279   Lin-Lin
 1.07741E+07 0.00189237   Lin-Lin
 1.08809E+07 0.00203794   Lin-Lin
 1.1E+07     0.00221192   Lin-Lin
 1.1125E+07  0.00238389   Lin-Lin
 1.12344E+07 0.0025453    Lin-Lin
 1.13719E+07 0.00276393   Lin-Lin
