TENDL-2017 Nuclear data library
# n + 115In   : (n,2n)            Total
# Q-value    =-9.03787E+00
# E-threshold= 9.11720E+00
# # energies =   121
#     E          xs       gamma xs  xs/res.prod.xs
 2.00000E+01 1.15548E+03 4.74754E+03 9.98190E-01
 2.10000E+01 9.68394E+02 4.06402E+03 9.97746E-01
 2.20000E+01 7.76164E+02 3.29275E+03 9.97127E-01
 2.30000E+01 6.37794E+02 2.71503E+03 9.96423E-01
 2.40000E+01 5.29124E+02 2.23924E+03 9.95570E-01
 2.50000E+01 4.45607E+02 1.85886E+03 9.94582E-01
 2.60000E+01 3.82729E+02 1.57123E+03 9.93569E-01
 2.70000E+01 3.39070E+02 1.36615E+03 9.92615E-01
 2.80000E+01 3.06227E+02 1.21436E+03 9.91858E-01
 2.90000E+01 2.79652E+02 1.09015E+03 9.91269E-01
 3.00000E+01 2.59723E+02 1.00153E+03 9.90913E-01
 3.20000E+01 2.28880E+02 8.63326E+02 9.90927E-01
 3.40000E+01 2.08719E+02 7.75014E+02 9.91866E-01
 3.60000E+01 1.93351E+02 7.09813E+02 9.93282E-01
 3.80000E+01 1.78344E+02 6.46868E+02 9.94717E-01
 4.00000E+01 1.66506E+02 5.99313E+02 9.95810E-01
 4.20000E+01 1.57014E+02 5.64034E+02 9.96434E-01
 4.40000E+01 1.46171E+02 5.22572E+02 9.96891E-01
 4.60000E+01 1.38524E+02 4.94416E+02 9.97198E-01
 4.80000E+01 1.28529E+02 4.56591E+02 9.97424E-01
 5.00000E+01 1.22228E+02 4.33404E+02 9.97541E-01
 5.20000E+01 1.15758E+02 4.07815E+02 9.97639E-01
 5.40000E+01 1.13685E+02 4.00091E+02 9.97753E-01
 5.60000E+01 1.12907E+02 3.95224E+02 9.97914E-01
 5.80000E+01 1.08094E+02 3.76875E+02 9.98049E-01
 6.00000E+01 1.04174E+02 3.63826E+02 9.98126E-01
 6.50000E+01 9.35943E+01 3.25944E+02 9.98090E-01
 7.00000E+01 8.63167E+01 3.01189E+02 9.97904E-01
 7.50000E+01 7.89291E+01 2.74586E+02 9.97944E-01
 8.00000E+01 7.40053E+01 2.57600E+02 9.98170E-01
 9.00000E+01 6.43237E+01 2.23116E+02 9.98368E-01
 1.00000E+02 5.70780E+01 1.97000E+02 9.98100E-01
 1.10000E+02 5.09872E+01 1.75472E+02 9.97885E-01
 1.20000E+02 4.67275E+01 1.60427E+02 9.98086E-01
 1.30000E+02 4.24383E+01 1.44955E+02 9.98369E-01
 1.40000E+02 3.93216E+01 1.34153E+02 9.98631E-01
 1.50000E+02 3.68151E+01 1.25739E+02 9.98875E-01
 1.60000E+02 3.22000E+01 1.09310E+02 9.98981E-01
 1.80000E+02 2.65984E+01 9.03965E+01 9.98905E-01
 2.00000E+02 2.17975E+01 7.36111E+01 9.98834E-01
