TENDL-2017 Nuclear data library
# n + 115In   : (n,p)             Total
# Q-value    =-6.69514E-01
# E-threshold= 6.75391E-01
# # energies =   121
#     E          xs       gamma xs  xs/res.prod.xs
 3.60000E+01 1.28237E+01 6.36437E+01 9.99892E-01
 3.80000E+01 1.18429E+01 5.91649E+01 9.99921E-01
 4.00000E+01 1.10695E+01 5.55284E+01 9.99937E-01
 4.20000E+01 1.01221E+01 5.13246E+01 9.99943E-01
 4.40000E+01 9.31105E+00 4.74829E+01 9.99946E-01
 4.60000E+01 8.53771E+00 4.37759E+01 9.99947E-01
 4.80000E+01 7.80061E+00 4.00833E+01 9.99948E-01
 5.00000E+01 7.18261E+00 3.69736E+01 9.99948E-01
 5.20000E+01 6.74043E+00 3.49574E+01 9.99944E-01
 5.40000E+01 6.21659E+00 3.22711E+01 9.99938E-01
 5.60000E+01 5.78166E+00 3.01397E+01 9.99939E-01
 5.80000E+01 5.36319E+00 2.79769E+01 9.99935E-01
 6.00000E+01 5.01374E+00 2.61772E+01 9.99933E-01
 6.50000E+01 4.41242E+00 2.26520E+01 9.99926E-01
 7.00000E+01 3.72579E+00 1.96078E+01 9.99910E-01
 7.50000E+01 3.37551E+00 1.74982E+01 9.99899E-01
 8.00000E+01 2.92450E+00 1.54051E+01 9.99893E-01
 9.00000E+01 2.37469E+00 1.24429E+01 9.99885E-01
 1.00000E+02 1.96892E+00 1.01442E+01 9.99880E-01
 1.10000E+02 1.69797E+00 8.68618E+00 9.99856E-01
 1.20000E+02 1.46894E+00 7.38117E+00 9.99878E-01
 1.30000E+02 1.30427E+00 6.52339E+00 9.99878E-01
 1.40000E+02 1.16693E+00 5.77053E+00 9.99906E-01
 1.50000E+02 1.03819E+00 5.08405E+00 9.99924E-01
 1.60000E+02 8.98325E-01 4.40320E+00 9.99930E-01
 1.80000E+02 6.86289E-01 3.35878E+00 9.99933E-01
 2.00000E+02 5.32016E-01 2.61274E+00 9.99927E-01
